,latitude,longitude,blk_no,road_name,postal_code,address
322,1.39453297843943,103.749964278203,771A,CHOA CHU KANG STREET 54,681771,CHOA CHU KANG ST 54
323,1.38308302434127,103.747076627693,,NIL,NIL,CHOA CHU KANG CTRL
324,1.38308302434127,103.747076627693,,NIL,NIL,CHOA CHU KANG CTRL
325,1.37915123926616,103.758554890844,153,JALAN TECK WHYE,680153,JLN TECK WHYE
326,1.3845483948042,103.74379576537,303,CHOA CHU KANG AVENUE 4,680303,CHOA CHU KANG AVE 4
327,1.3845483948042,103.74379576537,303,CHOA CHU KANG AVENUE 4,680303,CHOA CHU KANG AVE 4
328,1.38308302434127,103.747076627693,,NIL,NIL,CHOA CHU KANG CTRL
329,1.37824852197263,103.738056000138,50,CHOA CHU KANG AVENUE 3,689858,CHOA CHU KANG AVE 3
330,1.3845483948042,103.74379576537,303,CHOA CHU KANG AVENUE 4,680303,CHOA CHU KANG AVE 4
331,1.39884898673942,103.747039912057,,CHOA CHU KANG ST 62,NIL,CHOA CHU KANG ST 62
332,1.4027997262312,103.745942668131,,CHOA CHU KANG CRES,NIL,CHOA CHU KANG CRES
333,1.3845483948042,103.74379576537,303,CHOA CHU KANG AVENUE 4,680303,CHOA CHU KANG AVE 4
334,1.39884898673942,103.747039912057,,CHOA CHU KANG ST 62,NIL,CHOA CHU KANG ST 62
335,1.37824852197263,103.738056000138,50,CHOA CHU KANG AVENUE 3,689858,CHOA CHU KANG AVE 3
336,1.39635349177344,103.749479022403,,CHOA CHU KANG NTH 6,NIL,CHOA CHU KANG NTH 6
337,1.38308302434127,103.747076627693,,NIL,NIL,CHOA CHU KANG CTRL
338,1.37824852197263,103.738056000138,50,CHOA CHU KANG AVENUE 3,689858,CHOA CHU KANG AVE 3
339,1.38308302434127,103.747076627693,,NIL,NIL,CHOA CHU KANG CTRL
340,1.3845483948042,103.74379576537,303,CHOA CHU KANG AVENUE 4,680303,CHOA CHU KANG AVE 4
341,1.39531071236278,103.747326527117,50,CHOA CHU KANG DRIVE,689716,CHOA CHU KANG DR
342,1.4027997262312,103.745942668131,,CHOA CHU KANG CRES,NIL,CHOA CHU KANG CRES
343,1.39531071236278,103.747326527117,50,CHOA CHU KANG DRIVE,689716,CHOA CHU KANG DR
344,1.39184565454399,103.746635141653,,CHOA CHU KANG NTH 5,NIL,CHOA CHU KANG NTH 5
345,1.39431509144897,103.74355703816,,CHOA CHU KANG ST 52,NIL,CHOA CHU KANG ST 52
346,1.4027997262312,103.745942668131,,CHOA CHU KANG CRES,NIL,CHOA CHU KANG CRES
347,1.37824852197263,103.738056000138,50,CHOA CHU KANG AVENUE 3,689858,CHOA CHU KANG AVE 3
348,1.37776772061363,103.740253366027,21,CHOA CHU KANG AVENUE 2,689907,CHOA CHU KANG AVE 2
349,1.39884898673942,103.747039912057,,CHOA CHU KANG ST 62,NIL,CHOA CHU KANG ST 62
350,1.39635349177344,103.749479022403,,CHOA CHU KANG NTH 6,NIL,CHOA CHU KANG NTH 6
351,1.4027997262312,103.745942668131,,CHOA CHU KANG CRES,NIL,CHOA CHU KANG CRES
352,1.37776772061363,103.740253366027,21,CHOA CHU KANG AVENUE 2,689907,CHOA CHU KANG AVE 2
353,1.39884898673942,103.747039912057,,CHOA CHU KANG ST 62,NIL,CHOA CHU KANG ST 62
354,1.4027997262312,103.745942668131,,CHOA CHU KANG CRES,NIL,CHOA CHU KANG CRES
355,1.38041181166502,103.75258047021,141,TECK WHYE LANE,680141,TECK WHYE LANE
356,1.30413678048377,103.76381785742,727,CLEMENTI WEST STREET 2,120727,CLEMENTI WEST ST 2
357,1.30413678048377,103.76381785742,727,CLEMENTI WEST STREET 2,120727,CLEMENTI WEST ST 2
358,1.31568354839958,103.751633496716,,NIL,NIL,WEST COAST RD
359,1.30510440008699,103.766311863504,602,CLEMENTI WEST STREET 1,120602,CLEMENTI WEST ST 1
360,1.32055715119401,103.767348903613,,CLEMENTI AVE 4,NIL,CLEMENTI AVE 4
361,1.31542671896833,103.766840120707,325,CLEMENTI AVENUE 5,120325,CLEMENTI AVE 5
362,1.32189101790957,103.770595265822,109,CLEMENTI STREET 11,120109,CLEMENTI ST 11
363,1.31542671896833,103.766840120707,325,CLEMENTI AVENUE 5,120325,CLEMENTI AVE 5
364,1.31466925871322,103.770579164108,353A,CLEMENTI AVENUE 2,121353,CLEMENTI AVE 2
365,1.31466925871322,103.770579164108,353A,CLEMENTI AVENUE 2,121353,CLEMENTI AVE 2
366,1.31568354839958,103.751633496716,,NIL,NIL,WEST COAST RD
367,1.32055715119401,103.767348903613,,CLEMENTI AVE 4,NIL,CLEMENTI AVE 4
368,1.31466925871322,103.770579164108,353A,CLEMENTI AVENUE 2,121353,CLEMENTI AVE 2
369,1.32055715119401,103.767348903613,,CLEMENTI AVE 4,NIL,CLEMENTI AVE 4
370,1.31264808511529,103.765680279865,451,CLEMENTI AVENUE 3,120451,CLEMENTI AVE 3
371,1.30973331229189,103.76863729776,420A,CLEMENTI AVENUE 1,121420,CLEMENTI AVE 1
372,1.32526543033124,103.88488961869,79A,CIRCUIT ROAD,371079,CIRCUIT RD
373,1.30413678048377,103.76381785742,727,CLEMENTI WEST STREET 2,120727,CLEMENTI WEST ST 2
374,1.30413678048377,103.76381785742,727,CLEMENTI WEST STREET 2,120727,CLEMENTI WEST ST 2
375,1.30413678048377,103.76381785742,727,CLEMENTI WEST STREET 2,120727,CLEMENTI WEST ST 2
376,1.30510440008699,103.766311863504,602,CLEMENTI WEST STREET 1,120602,CLEMENTI WEST ST 1
377,1.30413678048377,103.76381785742,727,CLEMENTI WEST STREET 2,120727,CLEMENTI WEST ST 2
378,1.31542671896833,103.766840120707,325,CLEMENTI AVENUE 5,120325,CLEMENTI AVE 5
379,1.30801640821961,103.788373154559,,C'WEALTH AVE WEST,NIL,C'WEALTH AVE WEST
380,1.31542671896833,103.766840120707,325,CLEMENTI AVENUE 5,120325,CLEMENTI AVE 5
381,1.32055715119401,103.767348903613,,CLEMENTI AVE 4,NIL,CLEMENTI AVE 4
382,1.31264808511529,103.765680279865,451,CLEMENTI AVENUE 3,120451,CLEMENTI AVE 3
383,1.30413678048377,103.76381785742,727,CLEMENTI WEST STREET 2,120727,CLEMENTI WEST ST 2
384,1.30413678048377,103.76381785742,727,CLEMENTI WEST STREET 2,120727,CLEMENTI WEST ST 2
385,1.32526543033124,103.88488961869,79A,CIRCUIT ROAD,371079,CIRCUIT RD
386,1.32526543033124,103.88488961869,79A,CIRCUIT ROAD,371079,CIRCUIT RD
387,1.32965461509134,103.887183600084,30,BALAM ROAD,370030,BALAM RD
388,1.32965461509134,103.887183600084,30,BALAM ROAD,370030,BALAM RD
